baseline_IGD,baseline_normalized_HV,baseline_raw_HV,baseline_status,category,config_hash,delta_normalized_HV,family,function_evaluations_equal,intervention_IGD,intervention_id,intervention_normalized_HV,intervention_raw_HV,intervention_status,problem,seed,task_id
0.018147046903729497,0.8437828762210307,0.8437828762210307,ok,mutation,5f20bc8a4bf15392,-0.006080262879973208,ZDT,True,0.028502973657787874,mutation_prob_01,0.8377026133410574,0.8377026133410574,ok,ZDT1,0,ZDT1_n10_m2
0.013974908870728806,0.8523750219972352,0.8523750219972352,ok,mutation,5f20bc8a4bf15392,-0.01504639946354458,ZDT,True,0.0336314569181754,mutation_prob_01,0.8373286225336907,0.8373286225336907,ok,ZDT1,1,ZDT1_n10_m2
0.01495878461039073,0.8501427562448602,0.8501427562448602,ok,mutation,5f20bc8a4bf15392,-0.007606782117214994,ZDT,True,0.018584186955344948,mutation_prob_01,0.8425359741276452,0.8425359741276452,ok,ZDT1,2,ZDT1_n10_m2
0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,5f20bc8a4bf15392,0.07752650137359185,ZDT,True,0.01649310188239608,mutation_prob_01,0.8479438577978611,0.8479438577978611,ok,ZDT1,3,ZDT1_n10_m2
0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,5f20bc8a4bf15392,-0.027574391135806064,ZDT,True,0.036292394052829045,mutation_prob_01,0.8135309450062018,0.8135309450062018,ok,ZDT1,4,ZDT1_n10_m2
0.10944548604773369,0.7868536140737232,0.7868536140737232,ok,mutation,5f20bc8a4bf15392,0.03534396148957131,ZDT,True,0.038137946664602636,mutation_prob_01,0.8221975755632945,0.8221975755632945,ok,ZDT1,5,ZDT1_n10_m2
0.016317894498908726,0.8467023121831471,0.8467023121831471,ok,mutation,5f20bc8a4bf15392,-0.03149573170816955,ZDT,True,0.04549514644940587,mutation_prob_01,0.8152065804749775,0.8152065804749775,ok,ZDT1,6,ZDT1_n10_m2
0.12573389856211456,0.776836520515406,0.776836520515406,ok,mutation,5f20bc8a4bf15392,0.04042361739521716,ZDT,True,0.050255901981817126,mutation_prob_01,0.8172601379106231,0.8172601379106231,ok,ZDT1,7,ZDT1_n10_m2
0.019367026410246967,0.8440164848349576,0.8440164848349576,ok,mutation,5f20bc8a4bf15392,-0.023020884051389023,ZDT,True,0.05785428406169204,mutation_prob_01,0.8209956007835686,0.8209956007835686,ok,ZDT1,8,ZDT1_n10_m2
0.023031252498993897,0.8349720001191931,0.8349720001191931,ok,mutation,5f20bc8a4bf15392,0.005578373693000294,ZDT,True,0.020664013928545857,mutation_prob_01,0.8405503738121934,0.8405503738121934,ok,ZDT1,9,ZDT1_n10_m2
0.018147046903729497,0.8437828762210307,0.8437828762210307,ok,mutation,25df4ba55691c996,-0.0025473449278881066,ZDT,True,0.024164040363051077,mutation_prob_03,0.8412355312931425,0.8412355312931425,ok,ZDT1,0,ZDT1_n10_m2
0.013974908870728806,0.8523750219972352,0.8523750219972352,ok,mutation,25df4ba55691c996,0.0011864294278804977,ZDT,True,0.013024925072011986,mutation_prob_03,0.8535614514251157,0.8535614514251157,ok,ZDT1,1,ZDT1_n10_m2
0.01495878461039073,0.8501427562448602,0.8501427562448602,ok,mutation,25df4ba55691c996,-0.002025985400405439,ZDT,True,0.016636427224567537,mutation_prob_03,0.8481167708444548,0.8481167708444548,ok,ZDT1,2,ZDT1_n10_m2
0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,25df4ba55691c996,0.0658729533952348,ZDT,True,0.026139001528288294,mutation_prob_03,0.836290309819504,0.836290309819504,ok,ZDT1,3,ZDT1_n10_m2
0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,25df4ba55691c996,-0.006298994187592721,ZDT,True,0.024135894427163254,mutation_prob_03,0.8348063419544152,0.8348063419544152,ok,ZDT1,4,ZDT1_n10_m2
0.10944548604773369,0.7868536140737232,0.7868536140737232,ok,mutation,25df4ba55691c996,0.062064416095157116,ZDT,True,0.015162446210461668,mutation_prob_03,0.8489180301688803,0.8489180301688803,ok,ZDT1,5,ZDT1_n10_m2
0.016317894498908726,0.8467023121831471,0.8467023121831471,ok,mutation,25df4ba55691c996,-0.02131314131225248,ZDT,True,0.04914874391102745,mutation_prob_03,0.8253891708708946,0.8253891708708946,ok,ZDT1,6,ZDT1_n10_m2
0.12573389856211456,0.776836520515406,0.776836520515406,ok,mutation,25df4ba55691c996,0.032986302251532096,ZDT,True,0.07427046650602839,mutation_prob_03,0.8098228227669381,0.8098228227669381,ok,ZDT1,7,ZDT1_n10_m2
0.019367026410246967,0.8440164848349576,0.8440164848349576,ok,mutation,25df4ba55691c996,0.006572577736381202,ZDT,True,0.015147758431769333,mutation_prob_03,0.8505890625713388,0.8505890625713388,ok,ZDT1,8,ZDT1_n10_m2
0.023031252498993897,0.8349720001191931,0.8349720001191931,ok,mutation,25df4ba55691c996,0.013485794371509763,ZDT,True,0.015406303268632111,mutation_prob_03,0.8484577944907029,0.8484577944907029,ok,ZDT1,9,ZDT1_n10_m2
0.018147046903729497,0.8437828762210307,0.8437828762210307,ok,mutation,e975cec92cdd56f3,0.0062088456139333115,ZDT,True,0.016236500347933582,mutation_prob_04,0.849991721834964,0.849991721834964,ok,ZDT1,0,ZDT1_n10_m2
0.013974908870728806,0.8523750219972352,0.8523750219972352,ok,mutation,e975cec92cdd56f3,-0.003832101671338739,ZDT,True,0.01575364024630583,mutation_prob_04,0.8485429203258965,0.8485429203258965,ok,ZDT1,1,ZDT1_n10_m2
0.01495878461039073,0.8501427562448602,0.8501427562448602,ok,mutation,e975cec92cdd56f3,-0.003957677523085068,ZDT,True,0.021104701836784708,mutation_prob_04,0.8461850787217752,0.8461850787217752,ok,ZDT1,2,ZDT1_n10_m2
0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,e975cec92cdd56f3,0.07723458726124022,ZDT,True,0.016117936221706496,mutation_prob_04,0.8476519436855094,0.8476519436855094,ok,ZDT1,3,ZDT1_n10_m2
0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,e975cec92cdd56f3,-0.0062902185396626065,ZDT,True,0.023386077159927375,mutation_prob_04,0.8348151176023453,0.8348151176023453,ok,ZDT1,4,ZDT1_n10_m2
