category,ci95_high,ci95_low,family,intervention_id,mean,mean_delta_IGD,median,n,problem,state,std,task_id,tolerance
mutation,0.04358218075247377,0.007302603428131403,ZDT,mutation_prob_02,0.02597440960298899,-0.025839135875138287,0.02709105143703422,10,ZDT1,neutral,0.031277014919525004,ZDT1_n20_m2,0.01
mutation,0.047978748914372496,0.023257308020013398,ZDT,mutation_prob_03,0.035093016420355755,-0.04134794146068408,0.027236048191895366,10,ZDT1,positive,0.02119210931130989,ZDT1_n20_m2,0.01
mutation,0.03552102320367284,0.008808230138663558,ZDT,mutation_prob_04,0.022699054112101515,-0.029371680027387003,0.019696960339364356,10,ZDT1,neutral,0.02294620986665359,ZDT1_n20_m2,0.01
mutation,0.006085559094782673,-0.02640544153890441,ZDT,mutation_prob_05,-0.010246470604717095,-0.0026973771697443583,-0.011275822614300077,10,ZDT1,neutral,0.027799812411143196,ZDT1_n20_m2,0.01
mutation,0.04063616513708713,0.01601949078569504,ZDT,mutation_eta_01,0.027482175595664453,-0.03617795786581736,0.018388675894481694,10,ZDT1,positive,0.021103234782573314,ZDT1_n20_m2,0.01
mutation,0.04590346939180369,0.015862102480836606,ZDT,mutation_eta_02,0.030655834057546606,-0.03863054413760443,0.03450737571251464,10,ZDT1,positive,0.025593297781336302,ZDT1_n20_m2,0.01
mutation,0.038810984293754,0.009997182460855191,ZDT,mutation_eta_03,0.022770867857527126,-0.02767010570505286,0.013189821151508678,10,ZDT1,neutral,0.025049410653427986,ZDT1_n20_m2,0.01
mutation,-0.01692989419654975,-0.08775185258821715,ZDT,mutation_eta_04,-0.05106194434798983,0.055460622544018366,-0.03315536274170668,10,ZDT1,negative,0.06232822624340848,ZDT1_n20_m2,0.01
mutation,-0.013202107021924345,-0.07231047100476756,ZDT,mutation_eta_05,-0.04229442013533742,0.021847470747306235,-0.03773316439414782,10,ZDT1,negative,0.052372761810802526,ZDT1_n20_m2,0.01
crossover,-0.070302282044372,-0.12398442653080996,ZDT,crossover_prob_01,-0.0953647552375467,0.1112398894407195,-0.08989754235775152,10,ZDT1,negative,0.04541765629598064,ZDT1_n20_m2,0.01
crossover,0.0104059026453579,-0.044426634501766454,ZDT,crossover_prob_02,-0.015155996873344953,0.010305429474421932,-0.010423795311750927,10,ZDT1,neutral,0.045843026511196205,ZDT1_n20_m2,0.01
crossover,0.018326784992258392,-0.04181048025625682,ZDT,crossover_prob_03,-0.009619564672511993,0.017405168278855472,0.0008593813478502455,10,ZDT1,neutral,0.05110490784622289,ZDT1_n20_m2,0.01
crossover,0.027938459498057965,0.010530861659897927,ZDT,crossover_eta_01,0.019569010467285798,-0.021147585883263747,0.018591309421858458,10,ZDT1,positive,0.01495417199523279,ZDT1_n20_m2,0.01
crossover,0.037707667991641845,0.007943171067903388,ZDT,crossover_eta_02,0.022688389365005723,-0.028514645184468168,0.018332204237814093,10,ZDT1,neutral,0.025932880058163448,ZDT1_n20_m2,0.01
crossover,0.028253859707365117,-0.009818855821632408,ZDT,crossover_eta_03,0.008486681705588462,-0.013132851974971627,-0.003906182272209432,10,ZDT1,neutral,0.03224060319650493,ZDT1_n20_m2,0.01
crossover,0.01639812993502372,-0.022332612511640884,ZDT,crossover_eta_04,-0.0029701996180351584,-0.003859408923763623,-0.013317765863152892,10,ZDT1,neutral,0.0332141884193726,ZDT1_n20_m2,0.01
selection,0.02664392689023089,-0.0023776730491407738,ZDT,selection_tournament_01,0.011116442404691885,-0.015215672101638692,0.003975194334677461,10,ZDT1,neutral,0.026015028996799715,ZDT1_n20_m2,0.01
selection,0.01826986083408751,-0.024894132159313638,ZDT,selection_tournament_02,-0.0014888376448438875,-0.0005159141928406587,0.010012987589006362,10,ZDT1,neutral,0.037535656715440326,ZDT1_n20_m2,0.01
selection,0.03002567863614768,-0.00517740729743447,ZDT,selection_tournament_03,0.013631935810644025,-0.014743061501795177,0.018265527566206512,10,ZDT1,neutral,0.030922087830726697,ZDT1_n20_m2,0.01
mutation,0.03014297448326558,-0.13181468673330965,ZDT,mutation_prob_01,-0.05895459550006793,0.13657071566037168,-0.09021927361161297,10,ZDT2,neutral,0.13731217745626692,ZDT2_n10_m2,0.01
mutation,0.12459343401184979,-0.08552316764648019,ZDT,mutation_prob_03,0.01583590184950818,-0.025927723559772065,0.01000796205814507,10,ZDT2,neutral,0.18527551153574684,ZDT2_n10_m2,0.01
mutation,0.07735350822118041,-0.10924470035542884,ZDT,mutation_prob_04,-0.019450669410540793,0.03206888935551973,-0.055265137618859574,10,ZDT2,neutral,0.16297293469082708,ZDT2_n10_m2,0.01
mutation,0.005751293870509145,-0.13646977925213713,ZDT,mutation_prob_05,-0.06261724995087906,0.1094927902793433,-0.07169999010624782,10,ZDT2,neutral,0.11940351764398074,ZDT2_n10_m2,0.01
mutation,0.25234922108395186,0.14086818401287526,ZDT,mutation_eta_01,0.19809327318289877,-0.24333243522283268,0.22333743166087572,10,ZDT2,positive,0.09969517991637154,ZDT2_n10_m2,0.01
mutation,0.2465247641919373,0.1306938312636408,ZDT,mutation_eta_02,0.19039201134147615,-0.23851562254359596,0.2198090173394478,10,ZDT2,positive,0.10327622522851743,ZDT2_n10_m2,0.01
mutation,0.16171753644509362,0.06117099402789205,ZDT,mutation_eta_03,0.11362122105303504,-0.1546953193977731,0.10682786237070482,10,ZDT2,positive,0.08637116001772714,ZDT2_n10_m2,0.01
mutation,-0.0027028872947845116,-0.19125723123401542,ZDT,mutation_eta_04,-0.10520331649949363,0.2741375354059258,-0.12014580904547244,10,ZDT2,neutral,0.1612617909710097,ZDT2_n10_m2,0.01
mutation,-0.0744836340859264,-0.1983337656932287,ZDT,mutation_eta_05,-0.13446260261961757,0.3063433871039561,-0.1142116343104209,10,ZDT2,negative,0.1042972508044117,ZDT2_n10_m2,0.01
crossover,0.07797367915104723,-0.14265007529208387,ZDT,crossover_prob_01,-0.037520222946724045,0.08714825289774208,-0.07100546791989266,10,ZDT2,neutral,0.19177332765535754,ZDT2_n10_m2,0.01
crossover,-0.0070499442801779996,-0.1713319226357322,ZDT,crossover_prob_02,-0.09050460347601497,0.20032402034884464,-0.07706770232384925,10,ZDT2,neutral,0.1454744284516294,ZDT2_n10_m2,0.01
crossover,0.09219321866528418,-0.03778575887214886,ZDT,crossover_prob_03,0.031241582249468724,-0.035611444290581454,0.04390978138321716,10,ZDT2,neutral,0.11173878458315462,ZDT2_n10_m2,0.01
crossover,0.01477505447017266,-0.12212286830642358,ZDT,crossover_eta_01,-0.05006271108438903,0.12353954399006846,-0.03958452518269361,10,ZDT2,neutral,0.11610806377928316,ZDT2_n10_m2,0.01
crossover,0.050218573204105894,-0.03260515613427846,ZDT,crossover_eta_02,0.0039318945680665175,0.012908377438262644,-0.0076874274309017025,10,ZDT2,neutral,0.07125780180823646,ZDT2_n10_m2,0.01
crossover,-0.023114027667349307,-0.14080010912618407,ZDT,crossover_eta_03,-0.07966928142665473,0.1327301224588632,-0.03565747758709692,10,ZDT2,negative,0.10421592313710089,ZDT2_n10_m2,0.01
crossover,-0.021873076666092218,-0.13866600838566454,ZDT,crossover_eta_04,-0.0755012212556638,0.12482510985636652,-0.04605506568394806,10,ZDT2,negative,0.09931257633897071,ZDT2_n10_m2,0.01
selection,0.019515052929642326,-0.07978186338521817,ZDT,selection_tournament_01,-0.032025141884231376,0.04836099692450511,-0.0009251975540272364,10,ZDT2,neutral,0.08532636934113329,ZDT2_n10_m2,0.01
selection,0.17863188642801095,-0.0038097896618931567,ZDT,selection_tournament_02,0.0912083879501506,-0.12167417429679388,0.09009097219017959,10,ZDT2,neutral,0.15501339792205965,ZDT2_n10_m2,0.01
selection,0.09510649564759281,-0.08756285811334828,ZDT,selection_tournament_03,0.00737245887655207,0.0035826167008124548,0.025201437302120492,10,ZDT2,neutral,0.15681917217369903,ZDT2_n10_m2,0.01
mutation,0.039343546811431825,0.002570178855697756,ZDT,mutation_prob_02,0.02097342547272,-0.009409123048002604,0.018985895636865556,10,ZDT3,neutral,0.032357511457158254,ZDT3_n20_m2,0.01
