baseline_HV_unit,baseline_IGD,baseline_normalized_HV,baseline_raw_HV,baseline_status,category,config_hash,delta_HV_unit,delta_normalized_HV,family,function_evaluations_equal,intervention_HV_unit,intervention_IGD,intervention_id,intervention_normalized_HV,intervention_raw_HV,intervention_status,problem,seed,source_matrix,task_id
0.6973412200173806,0.018147046903729497,0.8437828762210307,0.8437828762210307,ok,mutation,5f20bc8a4bf15392,-0.005025010644605956,-0.006080262879973208,ZDT,True,0.6923162093727746,0.028502973657787874,mutation_prob_01,0.8377026133410574,0.8377026133410574,ok,ZDT1,0,phase1_5B_10seed,ZDT1_n10_m2
0.7044421669398637,0.013974908870728806,0.8523750219972352,0.8523750219972352,ok,mutation,5f20bc8a4bf15392,-0.012435040878962461,-0.01504639946354458,ZDT,True,0.6920071260609013,0.0336314569181754,mutation_prob_01,0.8373286225336907,0.8373286225336907,ok,ZDT1,1,phase1_5B_10seed,ZDT1_n10_m2
0.7025973192106282,0.01495878461039073,0.8501427562448602,0.8501427562448602,ok,mutation,5f20bc8a4bf15392,-0.006286596791086771,-0.007606782117214994,ZDT,True,0.6963107224195414,0.018584186955344948,mutation_prob_01,0.8425359741276452,0.8425359741276452,ok,ZDT1,2,phase1_5B_10seed,ZDT1_n10_m2
0.6367085590283216,0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,5f20bc8a4bf15392,0.06407148873850566,0.07752650137359185,ZDT,True,0.7007800477668272,0.01649310188239608,mutation_prob_01,0.8479438577978611,0.8479438577978611,ok,ZDT1,3,phase1_5B_10seed,ZDT1_n10_m2
0.6951283769768659,0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,5f20bc8a4bf15392,-0.022788753004798396,-0.027574391135806064,ZDT,True,0.6723396239720675,0.036292394052829045,mutation_prob_01,0.8135309450062018,0.8135309450062018,ok,ZDT1,4,phase1_5B_10seed,ZDT1_n10_m2
0.6502922430361348,0.10944548604773369,0.7868536140737232,0.7868536140737232,ok,mutation,5f20bc8a4bf15392,0.029209885528571324,0.03534396148957131,ZDT,True,0.6795021285647062,0.038137946664602636,mutation_prob_01,0.8221975755632945,0.8221975755632945,ok,ZDT1,5,phase1_5B_10seed,ZDT1_n10_m2
0.6997539770108653,0.016317894498908726,0.8467023121831471,0.8467023121831471,ok,mutation,5f20bc8a4bf15392,-0.026029530337330204,-0.03149573170816955,ZDT,True,0.673724446673535,0.04549514644940587,mutation_prob_01,0.8152065804749775,0.8152065804749775,ok,ZDT1,6,phase1_5B_10seed,ZDT1_n10_m2
0.6420136533185172,0.12573389856211456,0.776836520515406,0.776836520515406,ok,mutation,5f20bc8a4bf15392,0.033407948260510044,0.04042361739521716,ZDT,True,0.6754216015790273,0.050255901981817126,mutation_prob_01,0.8172601379106231,0.8172601379106231,ok,ZDT1,7,phase1_5B_10seed,ZDT1_n10_m2
0.6975342849875682,0.019367026410246967,0.8440164848349576,0.8440164848349576,ok,mutation,5f20bc8a4bf15392,-0.019025524009412414,-0.023020884051389023,ZDT,True,0.6785087609781557,0.05785428406169204,mutation_prob_01,0.8209956007835686,0.8209956007835686,ok,ZDT1,8,phase1_5B_10seed,ZDT1_n10_m2
0.690059504230738,0.023031252498993897,0.8349720001191931,0.8349720001191931,ok,mutation,5f20bc8a4bf15392,0.004610226192562225,0.005578373693000294,ZDT,True,0.6946697304233003,0.020664013928545857,mutation_prob_01,0.8405503738121934,0.8405503738121934,ok,ZDT1,9,phase1_5B_10seed,ZDT1_n10_m2
